country,world_region,stranger,acquaintance,intimate
Argentina,South_America,76.52,59.1,40.3
Austria,Europe_NorthAmerica,88.1,68,50.7
Brazil,South_America,101.21,78,54.04
Bulgaria,Europe_NorthAmerica,81.37,63.92,43.14
Canada,Europe_NorthAmerica,103.24,85.47,74.54
China,Asia,115.8,83.53,57.65
Colombia,South_America,117.4,85.6,60.8
Croatia,Europe_NorthAmerica,108.86,89.61,76.16
Czech Republic,Europe_NorthAmerica,110.9,81.32,56.65
Estonia,Europe_NorthAmerica,118.39,94.9,69.93
Germany,Europe_NorthAmerica,96.23,69.87,41.43
Ghana,Africa,106.8,82.33,54.95
Greece,Europe_NorthAmerica,91.28,68.3,44.68
Hong Kong,Asia,116,87.2,69.8
Hungary,Europe_NorthAmerica,130.72,108.86,83.29
India,Asia,110.1,87.22,58.46
Indonesia,Asia,110.22,85.87,65
Iran,Asia,112.72,83.86,59.18
Italy,Europe_NorthAmerica,93.23,68.2,41.55
Kazakhstan,Asia,93.83,67.17,47.67
Kenya,Africa,110.85,89.15,57.45
Malaysia,Asia,111.31,76.77,45.25
Mexico,South_America,99.37,83.16,65.82
Nigeria,Africa,102.95,81.23,62.16
Norway,Europe_NorthAmerica,104.2,71.4,35.8
Pakistan,Asia,119.52,90.88,56.32
Peru,South_America,79.61,62.55,43.73
Poland,Europe_NorthAmerica,96.68,66.54,48.46
Portugal,Europe_NorthAmerica,110.58,76.59,46.55
Romania,Europe_NorthAmerica,139.64,94.64,47.14
Russia,Europe_NorthAmerica,89.11,73.3,46.25
Saudi Arabia,Asia,126.87,105.15,97.47
Serbia,Europe_NorthAmerica,91.62,65.9,43.43
Slovakia,Europe_NorthAmerica,88.84,67.04,42.4
South Korea,Asia,105.6,84.6,66
Spain,Europe_NorthAmerica,98.5,81.26,61.17
Switzerland,Europe_NorthAmerica,110.5,93.18,73.97
Turkey,Asia,123.07,92.89,58.11
United Kingdom,Europe_NorthAmerica,99.4,80.8,56
Uganda,Africa,121.51,101.72,66.24
Ukraine,Europe_NorthAmerica,85.53,64.76,39.81
USA,Europe_NorthAmerica,95.38,68.73,47.74
